"","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME","ENTREZID","threshold"
"2406597",0.288937940281125,8.70479115414257,4.01634087801555,0.000191433400069168,0.00101460162988742,0.0894707618630495,"TRAPPC3","trafficking protein particle complex subunit 3","27095","Not Sig"
"2406662",0.0749671362802395,8.77654742277811,1.11455855127998,0.270178502562167,0.406820291414411,-6.381308956549,"EVA1B","eva-1 homolog B","55194","Not Sig"
"2406677",-0.0417086072596051,7.9930684449782,-0.41900474450124,0.676943154547351,0.780646291965304,-6.91320467689606,"STK40","serine/threonine kinase 40","83931","Not Sig"
"2406722",0.390083735578589,7.0842188803247,3.6754713426794,0.000563549301364835,0.00255127183717429,-0.939076603880331,"LSM10","LSM10, U7 small nuclear RNA associated","84967","Not Sig"
"2406735",0.00108829001329447,6.27853689408153,0.0135551509123851,0.989236900914573,0.993166886812177,-7.00170932634866,"OSCP1","organic solute carrier partner 1","127700","Not Sig"
"2406766",0.32801676853482,9.48488613214977,2.96853997181621,0.0045209775199363,0.0149843752735007,-2.8903742339567,"MRPS15","mitochondrial ribosomal protein S15","64960","Not Sig"
"2406783",0.0708442125907265,7.47555842471987,0.548376834548038,0.585786304692177,0.707436758069763,-6.85023137500706,"CSF3R","colony stimulating factor 3 receptor","1441","Not Sig"
"2406926",0.436139871392818,7.0754662729235,1.87885182102777,0.065890555957716,0.136192790608065,-5.27591845670687,"GRIK3","glutamate ionotropic receptor kainate type subunit 3","2899","Not Sig"
"2407128",0.377065042947891,7.99677650413352,3.82096866522939,0.000357355601943147,0.00173063897785932,-0.50622574038672,"MEAF6","MYST/Esa1 associated factor 6","64769","Not Sig"
"2407163",-0.11610515506522,7.99719532364543,-2.15071219895515,0.0361807517684605,0.0841477733702013,-4.76283198461033,"SNIP1","Smad nuclear interacting protein 1","79753","Not Sig"
"2407191",0.301451349174874,8.35377217768042,3.6356195168965,0.000637501126251291,0.00283418244595378,-1.05593863936776,"GNL2","G protein nucleolar 2","29889","Not Sig"
"2407224",-0.504848293746922,7.11434662647697,-4.41715922809466,5.11054169453349e-05,0.000323056097755246,1.35790815322319,"RSPO1","R-spondin 1","284654","Not Sig"
"2407250",-0.00500887977420916,6.21184803500931,-0.0839034358495789,0.933456265569726,0.959484214938565,-6.99824381800512,"AIRIM","AFG2 interacting ribosome maturation factor","54955","Not Sig"
"2407314",0.253772442166991,6.59821570292776,3.25842313963581,0.00198001563747112,0.00739646436362367,-2.12297392323069,"EPHA10","EPH receptor A10","284656","Not Sig"
"2407359",-0.0875864411287202,6.22883703169121,-1.2666835513318,0.210928232921803,0.337752170438078,-6.2031230345533,"EPHA10","EPH receptor A10","284656","Not Sig"
"2407439",-0.0557607101703361,10.0342373424013,-0.670865201029759,0.505283514162992,0.637216506357852,-6.77528494589454,"SF3A3","splicing factor 3a subunit 3","10946","Not Sig"
"2407478",0.0660489007385276,7.85676022542599,0.588657546680685,0.558646412647097,0.684863310995712,-6.82722380120164,"FHL3","four and a half LIM domains 3","2275","Not Sig"
"2407496",-0.247479178233387,8.29647039895148,-4.00968918026952,0.000195589046106756,0.00103388820697786,0.0689302207132148,"POU3F1","POU class 3 homeobox 1","5453","Not Sig"
"2407729",-0.191200075945712,8.52585928304773,-1.94773485354214,0.0568695659246886,0.121282435381099,-5.15153374599089,"RRAGC","Ras related GTP binding C","64121","Not Sig"
"2407755",0.0642607073870067,4.45505073175184,1.18329088937775,0.242090094018334,0.374702556742673,-6.3034710824457,"MYCBP","MYC binding protein","26292","Not Sig"
"2407786",0.225615501465361,5.2450072090985,3.11147912325499,0.00302483271249786,0.0106357177052381,-2.51806808754759,"RHBDL2","rhomboid like 2","54933","Not Sig"
